Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Bundesliga ,6,9/22/15,Home,Bayern Munich,VfL Wolfsburg,5:1,CF,57',4:1,Right-footed shot,Douglas Costa
Bundesliga ,6,9/22/15,Home,Bayern Munich,VfL Wolfsburg,5:1,CF,60',5:1,Right-footed shot,Mario Götze
Bundesliga ,7,9/26/15,Away,Bayern Munich,1.FSV Mainz 05,0:3,CF,51',0:1,Header,Kingsley Coman
Bundesliga ,7,9/26/15,Away,Bayern Munich,1.FSV Mainz 05,0:3,CF,63',0:2,Left-footed shot,Arturo Vidal
UEFA Champions League ,Gruppenphase,9/29/15,Home,Bayern Munich,GNK Dinamo Zagreb,5:0,CF,22',2:0,Right-footed shot,Thiago Alcántara
UEFA Champions League ,Gruppenphase,9/29/15,Home,Bayern Munich,GNK Dinamo Zagreb,5:0,CF,28',4:0,Left-footed shot,Douglas Costa
UEFA Champions League ,Gruppenphase,9/29/15,Home,Bayern Munich,GNK Dinamo Zagreb,5:0,CF,55',5:0,Right-footed shot,Thiago Alcántara
Bundesliga ,8,10/4/15,Home,Bayern Munich,Borussia Dortmund,5:1,CF,46',3:1,Right-footed shot,Jérôme Boateng
Bundesliga ,8,10/4/15,Home,Bayern Munich,Borussia Dortmund,5:1,CF,58',4:1,Left-footed shot,Mario Götze
Bundesliga ,10,10/24/15,Home,Bayern Munich,1.FC Köln,4:0,CF,63',3:0,Header,Douglas Costa
UEFA Champions League ,Gruppenphase,11/4/15,Home,Bayern Munich,Arsenal FC,5:1,CF,10',1:0,Header,Thiago Alcántara
Bundesliga ,12,11/7/15,Home,Bayern Munich,VfB Stuttgart,4:0,CF,37',3:0,Right-footed shot,Thomas Müller
UEFA Champions League ,Gruppenphase,11/24/15,Home,Bayern Munich,Olympiacos Piraeus,4:0,CF,16',2:0,Right-footed shot,Kingsley Coman
UEFA Champions League ,Gruppenphase,12/9/15,Away,Bayern Munich,GNK Dinamo Zagreb,0:2,CF,61',0:1,Header,Thomas Müller
UEFA Champions League ,Gruppenphase,12/9/15,Away,Bayern Munich,GNK Dinamo Zagreb,0:2,CF,64',0:2,Right-footed shot,Sebastian Rode
Bundesliga ,16,12/12/15,Home,Bayern Munich,FC Ingolstadt 04,2:0,CF,65',1:0,Right-footed shot,Jérôme Boateng
Bundesliga ,18,1/22/16,Away,Bayern Munich,Hamburger SV,1:2,CF,37',0:1,Penalty,Not Applicable
Bundesliga ,18,1/22/16,Away,Bayern Munich,Hamburger SV,1:2,CF,61',1:2,Deflected shot on goal,Thomas Müller
Bundesliga ,19,1/31/16,Home,Bayern Munich,TSG 1899 Hoffenheim,2:0,CF,32',1:0,Right-footed shot,Douglas Costa
Bundesliga ,19,1/31/16,Home,Bayern Munich,TSG 1899 Hoffenheim,2:0,CF,64',2:0,Right-footed shot,Philipp Lahm
DFB-Pokal ,Viertelfinale,2/10/16,Away,Bayern Munich,VfL Bochum,0:3,CF,39',0:1,Right-footed shot,Thomas Müller
DFB-Pokal ,Viertelfinale,2/10/16,Away,Bayern Munich,VfL Bochum,0:3,CF,90',0:3,Right-footed shot,Arjen Robben
Bundesliga ,21,2/14/16,Away,Bayern Munich,FC Augsburg,1:3,CF,15',0:1,Right-footed shot,Thomas Müller
Bundesliga ,21,2/14/16,Away,Bayern Munich,FC Augsburg,1:3,CF,62',0:2,Right-footed shot,Thiago Alcántara
Bundesliga ,22,2/20/16,Home,Bayern Munich,SV Darmstadt 98,3:1,CF,84',3:1,Right-footed shot,Franck Ribéry
Bundesliga ,23,2/27/16,Away,Bayern Munich,VfL Wolfsburg,0:2,CF,74',0:2,Right-footed shot,Franck Ribéry
Bundesliga ,26,3/12/16,Home,Bayern Munich,SV Werder Bremen,5:0,CF,86',4:0,Right-footed shot,Not Applicable
UEFA Champions League ,Achtelfinale,3/16/16,Home,Bayern Munich,Juventus FC,4:2,CF,73',1:2,Header,Douglas Costa
Bundesliga ,27,3/19/16,Away,Bayern Munich,1.FC Köln,0:1,CF,9',0:1,Right-footed shot,Not Applicable
Bundesliga ,30,4/16/16,Home,Bayern Munich,FC Schalke 04,3:0,CF,54',1:0,Left-footed shot,Arturo Vidal
Bundesliga ,30,4/16/16,Home,Bayern Munich,FC Schalke 04,3:0,CF,65',2:0,Header,Rafinha
UEFA Champions League ,Halbfinale,5/3/16,Home,Bayern Munich,Atlético de Madrid,2:1,CF,74',2:1,Header,Arturo Vidal
Bundesliga ,33,5/7/16,Away,Bayern Munich,FC Ingolstadt 04,1:2,CF,15',0:1,Penalty,Not Applicable
Bundesliga ,33,5/7/16,Away,Bayern Munich,FC Ingolstadt 04,1:2,CF,32',0:2,Right-footed shot,Xabi Alonso
Bundesliga ,34,5/14/16,Home,Bayern Munich,Hannover 96,3:1,CF,12',1:0,Right-footed shot,Not Applicable
DFB-Pokal ,1.Runde,8/19/16,Away,Bayern Munich,FC Carl Zeiss Jena,0:5,CF,3',0:1,Right-footed shot,Thomas Müller
DFB-Pokal ,1.Runde,8/19/16,Away,Bayern Munich,FC Carl Zeiss Jena,0:5,CF,34',0:2,Right-footed shot,Franck Ribéry
DFB-Pokal ,1.Runde,8/19/16,Away,Bayern Munich,FC Carl Zeiss Jena,0:5,CF,43',0:3,Right-footed shot,Franck Ribéry
Bundesliga ,1,8/26/16,Home,Bayern Munich,SV Werder Bremen,6:0,CF,13',2:0,Right-footed shot,Not Applicable
Bundesliga ,1,8/26/16,Home,Bayern Munich,SV Werder Bremen,6:0,CF,46',3:0,Right-footed shot,Thomas Müller
Bundesliga ,1,8/26/16,Home,Bayern Munich,SV Werder Bremen,6:0,CF,77',6:0,Penalty,Not Applicable
Bundesliga ,2,9/9/16,Away,Bayern Munich,FC Schalke 04,0:2,CF,81',0:1,Right-footed shot,Javi Martínez
UEFA Champions League ,Gruppenphase,9/13/16,Home,Bayern Munich,FC Rostov,5:0,CF,28',1:0,Penalty,Not Applicable
Bundesliga ,3,9/17/16,Home,Bayern Munich,FC Ingolstadt 04,3:1,CF,13',1:1,Left-footed shot,Franck Ribéry
UEFA Champions League ,Gruppenphase,10/19/16,Home,Bayern Munich,PSV Eindhoven,4:1,CF,59',3:1,Header,Arjen Robben
Bundesliga ,9,10/29/16,Away,Bayern Munich,FC Augsburg,1:3,CF,19',0:1,Left-footed shot,Arjen Robben
Bundesliga ,9,10/29/16,Away,Bayern Munich,FC Augsburg,1:3,CF,48',0:3,Right-footed shot,Arjen Robben
UEFA Champions League ,Gruppenphase,11/1/16,Away,Bayern Munich,PSV Eindhoven,1:2,CF,34',1:1,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/1/16,Away,Bayern Munich,PSV Eindhoven,1:2,CF,74',1:2,Right-footed shot,David Alaba
Bundesliga ,13,12/2/16,Away,Bayern Munich,1.FSV Mainz 05,1:3,CF,8',1:1,Right-footed shot,Arjen Robben
Bundesliga ,13,12/2/16,Away,Bayern Munich,1.FSV Mainz 05,1:3,CF,90',1:3,Direct free kick,Not Applicable
UEFA Champions League ,Gruppenphase,12/6/16,Home,Bayern Munich,Atlético de Madrid,1:0,CF,28',1:0,Direct free kick,Not Applicable
Bundesliga ,14,12/10/16,Home,Bayern Munich,VfL Wolfsburg,5:0,CF,22',2:0,Left-footed shot,Not Applicable
Bundesliga ,14,12/10/16,Home,Bayern Munich,VfL Wolfsburg,5:0,CF,58',3:0,Left-footed shot,Thomas Müller
Bundesliga ,16,12/21/16,Home,Bayern Munich,RB Leipzig,3:0,CF,44',3:0,Penalty,Not Applicable
Bundesliga ,17,1/20/17,Away,Bayern Munich,SC Freiburg,1:2,CF,35',1:1,Left-footed shot,Douglas Costa
Bundesliga ,17,1/20/17,Away,Bayern Munich,SC Freiburg,1:2,CF,90'+1,1:2,Left-footed shot,Franck Ribéry
Bundesliga ,19,2/4/17,Home,Bayern Munich,FC Schalke 04,1:1,CF,9',1:0,Left-footed shot,Arturo Vidal
UEFA Champions League ,Achtelfinale,2/15/17,Home,Bayern Munich,Arsenal FC,5:1,CF,53',2:1,Header,Philipp Lahm
Bundesliga ,21,2/18/17,Away,Bayern Munich,Hertha BSC,1:1,CF,90'+6,1:1,Tap-in,Not Applicable
Bundesliga ,22,2/25/17,Home,Bayern Munich,Hamburger SV,8:0,CF,24',2:0,Penalty,Not Applicable
Bundesliga ,22,2/25/17,Home,Bayern Munich,Hamburger SV,8:0,CF,42',3:0,Right-footed shot,Douglas Costa
Bundesliga ,22,2/25/17,Home,Bayern Munich,Hamburger SV,8:0,CF,54',4:0,Right-footed shot,Arjen Robben
DFB-Pokal ,Viertelfinale,3/1/17,Home,Bayern Munich,FC Schalke 04,3:0,CF,3',1:0,Left-footed shot,Franck Ribéry
DFB-Pokal ,Viertelfinale,3/1/17,Home,Bayern Munich,FC Schalke 04,3:0,CF,29',3:0,Right-footed shot,Franck Ribéry
UEFA Champions League ,Achtelfinale,3/7/17,Away,Bayern Munich,Arsenal FC,1:5,CF,55',1:1,Penalty,Not Applicable
Bundesliga ,24,3/11/17,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,38',1:0,Right-footed shot,Thomas Müller
Bundesliga ,24,3/11/17,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,55',3:0,Right-footed shot,Arjen Robben
Bundesliga ,26,4/1/17,Home,Bayern Munich,FC Augsburg,6:0,CF,17',1:0,Left-footed shot,Thiago Alcántara
Bundesliga ,26,4/1/17,Home,Bayern Munich,FC Augsburg,6:0,CF,55',3:0,Right-footed shot,Franck Ribéry
Bundesliga ,26,4/1/17,Home,Bayern Munich,FC Augsburg,6:0,CF,79',5:0,Header,Thomas Müller
Bundesliga ,28,4/8/17,Home,Bayern Munich,Borussia Dortmund,4:1,CF,10',2:0,Direct free kick,Not Applicable
Bundesliga ,28,4/8/17,Home,Bayern Munich,Borussia Dortmund,4:1,CF,68',4:1,Penalty,Not Applicable
UEFA Champions League ,Viertelfinale,4/18/17,Away,Bayern Munich,Real Madrid,4:2,CF,53',0:1,Penalty,Not Applicable
Bundesliga ,31,4/29/17,Away,Bayern Munich,VfL Wolfsburg,0:6,CF,36',0:2,Right-footed shot,Thomas Müller
Bundesliga ,31,4/29/17,Away,Bayern Munich,VfL Wolfsburg,0:6,CF,45',0:3,Left-footed shot,Kingsley Coman
Bundesliga ,33,5/13/17,Away,Bayern Munich,RB Leipzig,4:5,CF,17',1:1,Penalty,Not Applicable
Bundesliga ,33,5/13/17,Away,Bayern Munich,RB Leipzig,4:5,CF,84',4:3,Header,Arjen Robben
DFL-Supercup ,Finale,8/5/17,Away,Bayern Munich,Borussia Dortmund,6:7,CF,18',1:1,Right-footed shot,Joshua Kimmich
DFB-Pokal ,1.Runde,8/12/17,Away,Bayern Munich,Chemnitzer FC,0:5,CF,20',0:1,Direct free kick,Not Applicable
DFB-Pokal ,1.Runde,8/12/17,Away,Bayern Munich,Chemnitzer FC,0:5,CF,60',0:3,Right-footed shot,Corentin Tolisso
Bundesliga ,1,8/18/17,Home,Bayern Munich,Bayer 04 Leverkusen,3:1,CF,53',3:0,Penalty,Not Applicable
Bundesliga ,2,8/26/17,Away,Bayern Munich,SV Werder Bremen,0:2,CF,72',0:1,Right-footed shot,Kingsley Coman
Bundesliga ,2,8/26/17,Away,Bayern Munich,SV Werder Bremen,0:2,CF,75',0:2,Left-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,9/12/17,Home,Bayern Munich,RSC Anderlecht,3:0,CF,12',1:0,Penalty,Not Applicable
Bundesliga ,4,9/16/17,Home,Bayern Munich,1.FSV Mainz 05,4:0,CF,50',3:0,Left-footed shot,Thomas Müller
Bundesliga ,4,9/16/17,Home,Bayern Munich,1.FSV Mainz 05,4:0,CF,77',4:0,Header,Joshua Kimmich
Bundesliga ,5,9/19/17,Away,Bayern Munich,FC Schalke 04,0:3,CF,25',0:1,Penalty,Not Applicable
Bundesliga ,6,9/22/17,Home,Bayern Munich,VfL Wolfsburg,2:2,CF,33',1:0,Penalty,Not Applicable
Bundesliga ,7,10/1/17,Away,Bayern Munich,Hertha BSC,2:2,CF,49',0:2,Left-footed shot,Corentin Tolisso
Bundesliga ,8,10/14/17,Home,Bayern Munich,SC Freiburg,5:0,CF,75',4:0,Right-footed shot,Thomas Müller
Bundesliga ,10,10/28/17,Home,Bayern Munich,RB Leipzig,2:0,CF,38',2:0,Right-footed shot,Javi Martínez
Bundesliga ,11,11/4/17,Away,Bayern Munich,Borussia Dortmund,1:3,CF,37',0:2,Right-footed shot,Joshua Kimmich
Bundesliga ,12,11/18/17,Home,Bayern Munich,FC Augsburg,3:0,CF,38',2:0,Right-footed shot,Arturo Vidal
Bundesliga ,12,11/18/17,Home,Bayern Munich,FC Augsburg,3:0,CF,49',3:0,Left-footed shot,Joshua Kimmich
UEFA Champions League ,Gruppenphase,11/22/17,Away,Bayern Munich,RSC Anderlecht,1:2,CF,51',0:1,Right-footed shot,Corentin Tolisso
Bundesliga ,14,12/2/17,Home,Bayern Munich,Hannover 96,3:1,CF,87',3:1,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,12/5/17,Home,Bayern Munich,Paris Saint-Germain,3:1,CF,8',1:0,Left-footed shot,Kingsley Coman
Bundesliga ,16,12/13/17,Home,Bayern Munich,1.FC Köln,1:0,CF,60',1:0,Left-footed shot,Thomas Müller
Bundesliga ,19,1/21/18,Home,Bayern Munich,SV Werder Bremen,4:2,CF,63',2:1,Header,James Rodríguez
Bundesliga ,19,1/21/18,Home,Bayern Munich,SV Werder Bremen,4:2,CF,76',3:2,Header,Thomas Müller
Bundesliga ,20,1/27/18,Home,Bayern Munich,TSG 1899 Hoffenheim,5:2,CF,20',1:2,Left-footed shot,Joshua Kimmich
DFB-Pokal ,Viertelfinale,2/6/18,Away,Bayern Munich,SC Paderborn 07,0:6,CF,25',0:2,Right-footed shot,Kingsley Coman
Bundesliga ,22,2/10/18,Home,Bayern Munich,FC Schalke 04,2:1,CF,6',1:0,Right-footed shot,Thomas Müller
Bundesliga ,23,2/17/18,Away,Bayern Munich,VfL Wolfsburg,1:2,CF,90'+1,1:2,Penalty,Not Applicable
UEFA Champions League ,Achtelfinale,2/20/18,Home,Bayern Munich,Besiktas JK,5:0,CF,79',4:0,Left-footed shot,Mats Hummels
UEFA Champions League ,Achtelfinale,2/20/18,Home,Bayern Munich,Besiktas JK,5:0,CF,88',5:0,Left-footed shot,Thomas Müller
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,12',2:0,Header,Joshua Kimmich
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,19',3:0,Right-footed shot,David Alaba
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,90',6:0,Penalty,Not Applicable
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,5',1:0,Right-footed shot,Thomas Müller
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,44',4:0,Right-footed shot,Franck Ribéry
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,87',6:0,Right-footed shot,Joshua Kimmich
Bundesliga ,30,4/14/18,Home,Bayern Munich,Borussia Mönchengladbach,5:1,CF,82',5:1,Right-footed shot,Not Applicable
DFB-Pokal ,Halbfinale,4/17/18,Away,Bayern Munich,Bayer 04 Leverkusen,2:6,CF,3',0:1,Left-footed shot,Javi Martínez
DFB-Pokal ,Halbfinale,4/17/18,Away,Bayern Munich,Bayer 04 Leverkusen,2:6,CF,9',0:2,Right-footed shot,Franck Ribéry
Bundesliga ,31,4/21/18,Away,Bayern Munich,Hannover 96,0:3,CF,73',0:2,Header,Sebastian Rudy
Bundesliga ,33,5/5/18,Away,Bayern Munich,1.FC Köln,1:3,CF,61',1:2,Right-footed shot,Thomas Müller
DFB-Pokal ,Finale,5/19/18,Home,Bayern Munich,Eintracht Frankfurt,1:3,CF,53',1:1,Left-footed shot,Joshua Kimmich
DFL-Supercup ,Finale,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,21',0:1,Header,Joshua Kimmich
DFL-Supercup ,Finale,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,26',0:2,Header,Arjen Robben
DFL-Supercup ,Finale,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,54',0:3,Left-footed shot,Thomas Müller
DFB-Pokal ,1.Runde,8/18/18,Away,Bayern Munich,SV Drochtersen/Assel,0:1,CF,81',0:1,Left-footed shot,Leon Goretzka
Bundesliga ,1,8/24/18,Home,Bayern Munich,TSG 1899 Hoffenheim,3:1,CF,82',2:1,Penalty,Not Applicable
Bundesliga ,2,9/1/18,Away,Bayern Munich,VfB Stuttgart,0:3,CF,62',0:2,Left-footed shot,Leon Goretzka
UEFA Champions League ,Gruppenphase,9/19/18,Away,Bayern Munich,SL Benfica,0:2,CF,10',0:1,Right-footed shot,David Alaba
Bundesliga ,4,9/22/18,Away,Bayern Munich,FC Schalke 04,0:2,CF,64',0:2,Penalty,Not Applicable
Bundesliga ,8,10/20/18,Away,Bayern Munich,VfL Wolfsburg,1:3,CF,30',0:1,Right-footed shot,Mats Hummels
Bundesliga ,8,10/20/18,Away,Bayern Munich,VfL Wolfsburg,1:3,CF,49',0:2,Right-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,10/23/18,Away,Bayern Munich,AEK Athens,0:2,CF,63',0:2,Right-footed shot,Rafinha
UEFA Champions League ,Gruppenphase,11/7/18,Home,Bayern Munich,AEK Athens,2:0,CF,31',1:0,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/7/18,Home,Bayern Munich,AEK Athens,2:0,CF,71',2:0,Right-footed shot,Not Applicable
Bundesliga ,11,11/10/18,Away,Bayern Munich,Borussia Dortmund,3:2,CF,26',0:1,Header,Serge Gnabry
Bundesliga ,11,11/10/18,Away,Bayern Munich,Borussia Dortmund,3:2,CF,52',1:2,Header,Joshua Kimmich
UEFA Champions League ,Gruppenphase,11/27/18,Home,Bayern Munich,SL Benfica,5:1,CF,36',3:0,Header,Joshua Kimmich
UEFA Champions League ,Gruppenphase,11/27/18,Home,Bayern Munich,SL Benfica,5:1,CF,51',4:1,Header,Joshua Kimmich
Bundesliga ,14,12/8/18,Home,Bayern Munich,1.FC Nuremberg,3:0,CF,9',1:0,Header,Joshua Kimmich
Bundesliga ,14,12/8/18,Home,Bayern Munich,1.FC Nuremberg,3:0,CF,27',2:0,Right-footed shot,Leon Goretzka
UEFA Champions League ,Gruppenphase,12/12/18,Away,Bayern Munich,Ajax Amsterdam,3:3,CF,13',0:1,Right-footed shot,Serge Gnabry
UEFA Champions League ,Gruppenphase,12/12/18,Away,Bayern Munich,Ajax Amsterdam,3:3,CF,87',2:2,Penalty,Not Applicable
Bundesliga ,15,12/15/18,Away,Bayern Munich,Hannover 96,0:4,CF,62',0:4,Header,Joshua Kimmich
Bundesliga ,18,1/18/19,Away,Bayern Munich,TSG 1899 Hoffenheim,1:3,CF,87',1:3,Left-footed shot,Thomas Müller
Bundesliga ,19,1/27/19,Home,Bayern Munich,VfB Stuttgart,4:1,CF,85',4:1,Right-footed shot,Joshua Kimmich
Bundesliga ,21,2/9/19,Home,Bayern Munich,FC Schalke 04,3:1,CF,27',2:1,Right-footed shot,James Rodríguez
Bundesliga ,24,3/2/19,Away,Bayern Munich,Borussia Mönchengladbach,1:5,CF,47',1:3,Right-footed shot,Thiago Alcántara
Bundesliga ,24,3/2/19,Away,Bayern Munich,Borussia Mönchengladbach,1:5,CF,90'+1,1:5,Penalty,Not Applicable
Bundesliga ,25,3/9/19,Home,Bayern Munich,VfL Wolfsburg,6:0,CF,37',2:0,Right-footed shot,Serge Gnabry
Bundesliga ,25,3/9/19,Home,Bayern Munich,VfL Wolfsburg,6:0,CF,85',6:0,Header,Franck Ribéry
Bundesliga ,26,3/17/19,Home,Bayern Munich,1.FSV Mainz 05,6:0,CF,3',1:0,Right-footed shot,David Alaba
Bundesliga ,27,3/30/19,Away,Bayern Munich,SC Freiburg,1:1,CF,22',1:1,Left-footed shot,Leon Goretzka
DFB-Pokal ,Viertelfinale,4/3/19,Home,Bayern Munich,1.FC Heidenheim 1846,5:4,CF,56',3:2,Right-footed shot,Thomas Müller
DFB-Pokal ,Viertelfinale,4/3/19,Home,Bayern Munich,1.FC Heidenheim 1846,5:4,CF,84',5:4,Penalty,Not Applicable
Bundesliga ,28,4/6/19,Home,Bayern Munich,Borussia Dortmund,5:0,CF,17',2:0,Right-footed shot,Not Applicable
Bundesliga ,28,4/6/19,Home,Bayern Munich,Borussia Dortmund,5:0,CF,89',5:0,Right-footed shot,Serge Gnabry
DFB-Pokal ,Halbfinale,4/24/19,Away,Bayern Munich,SV Werder Bremen,2:3,CF,36',0:1,Right-footed shot,Thomas Müller
DFB-Pokal ,Halbfinale,4/24/19,Away,Bayern Munich,SV Werder Bremen,2:3,CF,80',2:3,Penalty,Not Applicable
Bundesliga ,32,5/4/19,Home,Bayern Munich,Hannover 96,3:1,CF,27',1:0,Header,Joshua Kimmich
DFB-Pokal ,Finale,5/25/19,Away,Bayern Munich,RB Leipzig,0:3,CF,29',0:1,Header,David Alaba
DFB-Pokal ,Finale,5/25/19,Away,Bayern Munich,RB Leipzig,0:3,CF,85',0:3,Left-footed shot,Joshua Kimmich
DFB-Pokal ,1.Runde,8/12/19,Away,Bayern Munich,FC Energie Cottbus,1:3,CF,32',0:1,Tap-in,Kingsley Coman
Bundesliga ,1,8/16/19,Home,Bayern Munich,Hertha BSC,2:2,CF,24',1:0,Left-footed shot,Serge Gnabry
Bundesliga ,1,8/16/19,Home,Bayern Munich,Hertha BSC,2:2,CF,60',2:2,Penalty,Not Applicable
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,20',0:1,Penalty,Not Applicable
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,50',0:2,Direct free kick,Not Applicable
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,75',0:3,Right-footed shot,Kingsley Coman
Bundesliga ,3,8/31/19,Home,Bayern Munich,1.FSV Mainz 05,6:1,CF,78',5:1,Right-footed shot,Thomas Müller
Bundesliga ,4,9/14/19,Away,Bayern Munich,RB Leipzig,1:1,CF,3',0:1,Right-footed shot,Thomas Müller
UEFA Champions League ,Gruppenphase,9/18/19,Home,Bayern Munich,Red Star Belgrade,3:0,CF,80',2:0,Right-footed shot,Not Applicable
Bundesliga ,5,9/21/19,Home,Bayern Munich,1.FC Köln,4:0,CF,3',1:0,Right-footed shot,Joshua Kimmich
Bundesliga ,5,9/21/19,Home,Bayern Munich,1.FC Köln,4:0,CF,48',2:0,Header,Joshua Kimmich
Bundesliga ,6,9/28/19,Away,Bayern Munich,SC Paderborn 07,2:3,CF,79',1:3,Right-footed shot,Niklas Süle
UEFA Champions League ,Gruppenphase,10/1/19,Away,Bayern Munich,Tottenham Hotspur,2:7,CF,45',1:2,Right-footed shot,Serge Gnabry
UEFA Champions League ,Gruppenphase,10/1/19,Away,Bayern Munich,Tottenham Hotspur,2:7,CF,87',2:6,Right-footed shot,Philippe Coutinho
Bundesliga ,7,10/5/19,Home,Bayern Munich,TSG 1899 Hoffenheim,1:2,CF,73',1:1,Header,Thomas Müller
Bundesliga ,8,10/19/19,Away,Bayern Munich,FC Augsburg,2:2,CF,14',1:1,Header,Serge Gnabry
UEFA Champions League ,Gruppenphase,10/22/19,Away,Bayern Munich,Olympiacos Piraeus,2:3,CF,34',1:1,Tap-in,Thomas Müller
UEFA Champions League ,Gruppenphase,10/22/19,Away,Bayern Munich,Olympiacos Piraeus,2:3,CF,62',1:2,Right-footed shot,Thomas Müller
Bundesliga ,9,10/26/19,Home,Bayern Munich,1.FC Union Berlin,2:1,CF,53',2:0,Right-footed shot,Not Applicable
Bundesliga ,10,11/2/19,Away,Bayern Munich,Eintracht Frankfurt,5:1,CF,37',2:1,Right-footed shot,Alphonso Davies
UEFA Champions League ,Gruppenphase,11/6/19,Home,Bayern Munich,Olympiacos Piraeus,2:0,CF,69',1:0,Right-footed shot,Kingsley Coman
Bundesliga ,11,11/9/19,Home,Bayern Munich,Borussia Dortmund,4:0,CF,17',1:0,Header,Benjamin Pavard
Bundesliga ,11,11/9/19,Home,Bayern Munich,Borussia Dortmund,4:0,CF,76',3:0,Right-footed shot,Thomas Müller
UEFA Champions League ,Gruppenphase,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,53',0:2,Penalty,Not Applicable
UEFA Champions League ,Gruppenphase,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,60',0:3,Tap-in,Corentin Tolisso
UEFA Champions League ,Gruppenphase,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,64',0:4,Header,Benjamin Pavard
UEFA Champions League ,Gruppenphase,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,67',0:5,Right-footed shot,Ivan Perisic
Bundesliga ,15,12/14/19,Home,Bayern Munich,SV Werder Bremen,6:1,CF,45'+4,2:1,Left-footed shot,Philippe Coutinho
Bundesliga ,15,12/14/19,Home,Bayern Munich,SV Werder Bremen,6:1,CF,72',4:1,Right-footed shot,Thomas Müller
Bundesliga ,16,12/18/19,Away,Bayern Munich,SC Freiburg,1:3,CF,16',0:1,Right-footed shot,Alphonso Davies
Bundesliga ,18,1/19/20,Away,Bayern Munich,Hertha BSC,0:4,CF,73',0:2,Penalty,Not Applicable
Bundesliga ,19,1/25/20,Home,Bayern Munich,FC Schalke 04,5:0,CF,6',1:0,Right-footed shot,Ivan Perisic
Bundesliga ,20,2/1/20,Away,Bayern Munich,1.FSV Mainz 05,1:3,CF,8',0:1,Header,Benjamin Pavard
DFB-Pokal ,Achtelfinale,2/5/20,Home,Bayern Munich,TSG 1899 Hoffenheim,4:3,CF,36',3:1,Header,Thomas Müller
DFB-Pokal ,Achtelfinale,2/5/20,Home,Bayern Munich,TSG 1899 Hoffenheim,4:3,CF,80',4:1,Header,Joshua Kimmich
Bundesliga ,22,2/16/20,Away,Bayern Munich,1.FC Köln,1:4,CF,3',0:1,Left-footed shot,Thomas Müller
Bundesliga ,23,2/21/20,Home,Bayern Munich,SC Paderborn 07,3:2,CF,70',2:1,Right-footed shot,Serge Gnabry
Bundesliga ,23,2/21/20,Home,Bayern Munich,SC Paderborn 07,3:2,CF,88',3:2,Right-footed shot,Serge Gnabry
UEFA Champions League ,Achtelfinale,2/25/20,Away,Bayern Munich,Chelsea FC,0:3,CF,76',0:3,Right-footed shot,Alphonso Davies
Bundesliga ,26,5/17/20,Away,Bayern Munich,1.FC Union Berlin,0:2,CF,40',0:1,Penalty,Not Applicable
Bundesliga ,27,5/23/20,Home,Bayern Munich,Eintracht Frankfurt,5:2,CF,46',3:0,Header,Kingsley Coman
Bundesliga ,29,5/30/20,Home,Bayern Munich,Fortuna Düsseldorf,5:0,CF,43',3:0,Right-footed shot,Thomas Müller
Bundesliga ,29,5/30/20,Home,Bayern Munich,Fortuna Düsseldorf,5:0,CF,50',4:0,Right-footed shot,Serge Gnabry
Bundesliga ,30,6/6/20,Away,Bayern Munich,Bayer 04 Leverkusen,2:4,CF,66',1:4,Header,Thomas Müller
DFB-Pokal ,Halbfinale,6/10/20,Home,Bayern Munich,Eintracht Frankfurt,2:1,CF,74',2:1,Left-footed shot,Joshua Kimmich
Bundesliga ,32,6/16/20,Away,Bayern Munich,SV Werder Bremen,0:1,CF,43',0:1,Right-footed shot,Jérôme Boateng
Bundesliga ,33,6/20/20,Home,Bayern Munich,SC Freiburg,3:1,CF,24',2:0,Header,Leon Goretzka
